First Name*,Middle Name,Last Name*,Email*,Phone,Date of Birth,Gender,Marital Status,Job Title,Department,Manager Email,Employment Type,Employment Status,Join Date,Probation End Date,Create User Account? (Yes/No),Username,Password,Access Role,Basic Salary,Housing Allowance,Transport Allowance,Medical Allowance,Lunch Allowance,Other Allowances,Bank Name,Bank Account Number,Bank Branch,Mobile Money Number,National ID*,Passport Number,TIN Number,NSSF Number,Address,City,District,Emergency Contact Name,Emergency Contact Phone,Emergency Contact Relationship,Notes
Faith,,Asiimwe,faith.asiimwe@company.co.ug,+256729014675,1976-08-10,Female,Single,Operations Manager,Operations,manager.operations@company.co.ug,Contract,Active,2014-11-15,,Yes,faith.asiimwe,Welcome2025!,Admin,2325780,800000,550000,500000,150000,900000,Stanbic Bank,9675493943,Central Branch,,CM728423667685,,,81181901-41,"Plot 165, Bombo Road",Entebbe,Jinja,Moses Akello,+256701113923,Parent,
Faith,,Tumwebaze,faith.tumwebaze@company.co.ug,+256770955619,2005-03-20,Female,Widowed,Operations Manager,Operations,,Full-time,Active,2016-12-31,2017-06-29,No,,,,6451620,600000,600000,450000,100000,400000,Equity Bank,8355194943,Kampala Branch,,CM961762048272,,,57820458-30,"Plot 151, Bombo Road",Fort Portal,Mukono,Moses Apio,+256740713898,Friend,
Grace,,Nalwanga,grace.nalwanga@company.co.ug,+256780787576,1985-12-11,Female,Widowed,Executive Director,Management,,Contract,Active,2021-12-20,,Yes,grace.nalwanga,Welcome2025!,Admin,5425775,0,0,400000,0,0,Centenary Bank,6194289640,Central Branch,,CM846922787491,,8707466446,63668269-79,"Plot 70, Ggaba Road",Gulu,Jinja,Nakato Akello,+256736669661,Parent,
Joseph,,Ssekitto,joseph.ssekitto@company.co.ug,+256769747242,1992-11-19,Male,Divorced,Executive Director,Management,manager.management@company.co.ug,Full-time,Active,2017-07-19,2018-01-15,Yes,joseph.ssekitto,Welcome2025!,Supervisor,6757957,500000,550000,0,0,0,Bank of Africa,7456377018,Kampala Main,,CM700458876418,,4149166898,,"Plot 100, Nakasero",Fort Portal,Mukono,Geoffrey Nakandi,+256739795762,Sibling,
Faith,,Byaruhanga,faith.byaruhanga@company.co.ug,+256779094832,2003-05-28,Female,Single,Department Manager,Management,manager.management@company.co.ug,Full-time,Active,2017-11-16,2018-05-15,No,,,,4995335,500000,0,500000,200000,100000,DFCU Bank,3126801967,Kampala Branch,,CM802592062185,,8492461622,95464072-20,"Plot 201, Entebbe Road",Mbale,Mukono,Moses Byaruhanga,+256747730579,Child,
Faith,,Mukasa,faith.mukasa@company.co.ug,+256761378369,2005-03-03,Female,Single,Software Engineer,Engineering,manager.engineering@company.co.ug,Contract,Active,2025-05-21,2025-11-17,No,,,,7193548,1500000,550000,450000,300000,0,DFCU Bank,6540509290,Kampala Main,+256757932793,CM863690295995,,1148346171,,"Plot 54, Bombo Road",Mbarara,Gulu,Stephen Asiimwe,+256728917877,Friend,
Charles,,Nabukenya,charles.nabukenya@company.co.ug,+256775626761,1982-08-07,Male,Married,Software Engineer,Engineering,manager.engineering@company.co.ug,Part-time,Active,2020-12-28,,No,,,,5042095,0,0,450000,250000,1000000,Stanbic Bank,3449701558,Kampala Main,,CM747629957948,,6617398239,31368636-49,"Plot 120, Nakasero",Gulu,Gulu,Brian Nabukeera,+256753032757,Parent,
Stephen,Rebecca,Asiimwe,stephen.asiimwe@company.co.ug,+256744446522,1998-05-03,Male,Married,Procurement Officer,Operations,manager.operations@company.co.ug,Full-time,Active,2019-02-19,2019-08-18,No,,,,9122156,0,450000,0,250000,0,Stanbic Bank,5698667065,Kampala Main,,CM783505564162,,,,"Plot 33, Ggaba Road",Jinja,Wakiso,Charles Apio,+256778819896,Parent,
Samuel,,Nalwanga,samuel.nalwanga@company.co.ug,+256703824608,1981-09-22,Male,Divorced,Accountant,Finance,,Full-time,Active,2014-12-09,2015-06-07,No,,,,4962126,0,700000,300000,0,400000,Equity Bank,7145400373,Kampala Main,+256755433982,CM762737072187,,,90527657-98,"Plot 147, Entebbe Road",Entebbe,Mukono,Brenda Nakandi,+256724916772,Spouse,
Simon,,Mbabazi,simon.mbabazi@company.co.ug,+256789072955,1994-05-07,Male,Divorced,Financial Analyst,Finance,manager.finance@company.co.ug,Part-time,Active,2015-03-11,,Yes,simon.mbabazi,Welcome2025!,Admin,2985970,300000,0,400000,250000,900000,Stanbic Bank,5212344196,Kampala Main,,CM706120918075,,,,"Plot 178, Ggaba Road",Entebbe,Mbale,Samuel Apio,+256738843192,Friend,
John,,Kiwanuka,john.kiwanuka@company.co.ug,+256762991583,2000-09-03,Male,Married,Senior Accountant,Finance,manager.finance@company.co.ug,Full-time,Active,2015-10-26,,No,,,,7678010,1600000,750000,250000,100000,0,DFCU Bank,6831168196,Central Branch,+256753866672,CM988522023460,,,46529808-37,"Plot 106, Old Kampala Road",Gulu,Gulu,Joseph Apio,+256776617511,Spouse,
Brenda,,Asiimwe,brenda.asiimwe@company.co.ug,+256766485398,1986-06-14,Female,Divorced,Training Coordinator,Human Resources,,Full-time,Active,2014-08-01,,No,,,,3243258,1300000,250000,0,0,0,Centenary Bank,8418124287,Kampala Main,+256757606691,CM843481431628,,2972517030,66918835-44,"Plot 18, Entebbe Road",Fort Portal,Kampala,Peter Akello,+256767007223,Child,
David,,Tumwebaze,david.tumwebaze@company.co.ug,+256779459961,1977-05-04,Male,Widowed,HR Officer,Human Resources,,Full-time,Active,2017-04-15,,No,,,,4879836,800000,400000,550000,250000,0,Equity Bank,8578724630,Central Branch,,CM866241649841,,,30685241-39,"Plot 60, Ggaba Road",Gulu,Jinja,Nakato Nakandi,+256792336014,Child,
Namukwaya,,Ssekitto,namukwaya.ssekitto@company.co.ug,+256790559510,1992-05-05,Female,Widowed,Marketing Officer,Sales,manager.sales@company.co.ug,Full-time,Active,2023-08-27,2024-02-23,No,,,,5643503,1200000,800000,350000,0,0,Absa Bank,7705804443,Kampala Main,+256753860471,CM867097179655,,3419324703,,"Plot 77, Nakasero",Mbale,Wakiso,Peter Nabukenya,+256716988622,Friend,
Joseph,,Ssekitto,joseph.ssekitto@company.co.ug,+256717919315,1999-01-06,Male,Single,Sales Executive,Sales,manager.sales@company.co.ug,Full-time,Active,2022-10-03,,Yes,joseph.ssekitto,Welcome2025!,Employee,2965976,1600000,200000,350000,100000,0,Absa Bank,7186135630,Kampala Main,,CM879285976701,,9420780064,,"Plot 177, Nakasero",Mbarara,Jinja,Joseph Mukasa,+256794583753,Sibling,
Rebecca,Moses,Nalwanga,rebecca.nalwanga@company.co.ug,+256707637933,1976-04-22,Female,Single,Admin Officer,Operations,manager.operations@company.co.ug,Full-time,Active,2015-07-10,2016-01-06,No,,,,2750833,1400000,0,150000,250000,500000,DFCU Bank,2836071949,Kampala Main,+256757986090,CM938062487795,,2967484984,,"Plot 39, Entebbe Road",Jinja,Wakiso,Brian Akello,+256704640169,Parent,
Brenda,,Mukasa,brenda.mukasa@company.co.ug,+256795229535,1985-04-28,Female,Divorced,Accountant,Finance,manager.finance@company.co.ug,Full-time,Active,2021-12-28,,Yes,brenda.mukasa,Welcome2025!,Employee,5347727,0,350000,150000,0,1000000,Bank of Africa,5102913563,Central Branch,,CM879281215285,,,,"Plot 60, Nakasero",Kampala,Kampala,Sarah Okello,+256762760718,Friend,
Gloria,Stephen,Nabukeera,gloria.nabukeera@company.co.ug,+256758064207,2004-11-10,Female,Divorced,Marketing Officer,Sales,manager.sales@company.co.ug,Contract,Active,2014-09-28,2015-03-27,Yes,gloria.nabukeera,Welcome2025!,Admin,6082241,0,850000,150000,0,0,Equity Bank,9688064742,Kampala Branch,+256750530367,CM848372753020,,,,"Plot 151, Nakasero",Kampala,Mbarara,Namukwaya Byaruhanga,+256794122266,Sibling,
Nantongo,,Mukasa,nantongo.mukasa@company.co.ug,+256774342568,1979-08-12,Female,Divorced,HR Manager,Human Resources,,Full-time,Active,2020-12-03,,No,,,,3496617,700000,650000,400000,250000,0,Equity Bank,1488288313,Kampala Main,+256758831700,CM864971074929,,,,"Plot 7, Bombo Road",Mbarara,Mukono,David Asiimwe,+256777662823,Spouse,
Nantongo,,Ssekitto,nantongo.ssekitto@company.co.ug,+256726821181,1987-12-12,Female,Widowed,Procurement Officer,Operations,,Full-time,Active,2015-10-26,,Yes,nantongo.ssekitto,Welcome2025!,Employee,9096139,1000000,550000,450000,250000,0,Equity Bank,3028806116,Central Branch,,CM716497919666,,,,"Plot 44, Bombo Road",Jinja,Kampala,John Nabukeera,+256782752765,Friend,
Nantongo,,Okello,nantongo.okello@company.co.ug,+256771125421,1977-12-07,Female,Divorced,Executive Director,Management,manager.management@company.co.ug,Full-time,Active,2019-12-19,,No,,,,5231838,0,400000,450000,100000,0,Equity Bank,5798957456,Kampala Main,,CM801182123298,,1468942263,,"Plot 36, Ggaba Road",Mbarara,Mbarara,Mary Mukasa,+256720241589,Spouse,
Lydia,,Mbabazi,lydia.mbabazi@company.co.ug,+256702760499,1986-12-20,Female,Divorced,Executive Director,Management,manager.management@company.co.ug,Full-time,Active,2015-06-26,,No,,,,1932351,500000,0,500000,300000,0,Absa Bank,1844115209,Central Branch,+256757622343,CM954027844013,,4357451392,86153274-25,"Plot 42, Entebbe Road",Jinja,Mukono,James Byaruhanga,+256720729004,Sibling,
Achen,Lydia,Nalwanga,achen.nalwanga@company.co.ug,+256732472207,1990-08-25,Female,Single,Training Coordinator,Human Resources,manager.humanresources@company.co.ug,Contract,Active,2018-10-19,,No,,,,7786762,600000,850000,0,0,0,Bank of Africa,2847942238,Central Branch,+256750477459,CM964457704706,,,,"Plot 114, Entebbe Road",Fort Portal,Gulu,Peter Ssekitto,+256710943576,Spouse,
Peter,,Nabukeera,peter.nabukeera@company.co.ug,+256753013474,1982-05-01,Male,Divorced,Business Development Manager,Sales,manager.sales@company.co.ug,Part-time,Active,2019-06-17,,Yes,peter.nabukeera,Welcome2025!,Supervisor,8793659,800000,400000,0,0,200000,Centenary Bank,6184843179,Kampala Branch,,CM743238273814,,,,"Plot 78, Old Kampala Road",Mbale,Wakiso,Lydia Asiimwe,+256797725758,Parent,
Esther,,Mbabazi,esther.mbabazi@company.co.ug,+256715710693,1984-05-01,Female,Divorced,Sales Manager,Sales,manager.sales@company.co.ug,Part-time,Active,2017-04-10,2017-10-07,Yes,esther.mbabazi,Welcome2025!,Admin,6264766,700000,0,300000,300000,0,Equity Bank,2698089375,Central Branch,,CM820179118916,,8856545583,,"Plot 204, Ggaba Road",Mbale,Mukono,Ronald Asiimwe,+256710776874,Sibling,
Peter,Mary,Mbabazi,peter.mbabazi@company.co.ug,+256713381037,1984-05-10,Male,Married,Sales Executive,Sales,,Full-time,Active,2024-06-03,2024-11-30,No,,,,9248025,300000,0,200000,0,0,Centenary Bank,7596696125,Central Branch,+256759312893,CM765188827118,,3864177163,56084792-30,"Plot 161, Ggaba Road",Mbale,Mbale,Joseph Nalwanga,+256763811858,Spouse,
Achen,Brenda,Nalwanga,achen.nalwanga@company.co.ug,+256778392711,1999-09-16,Female,Widowed,Executive Director,Management,manager.management@company.co.ug,Full-time,Active,2022-11-07,,Yes,achen.nalwanga,Welcome2025!,Supervisor,5866997,1100000,650000,400000,0,600000,Centenary Bank,4706804410,Central Branch,,CM795778687896,,6454188256,,"Plot 66, Bombo Road",Mbale,Jinja,Stephen Kiwanuka,+256792790336,Child,
Stephen,Sarah,Nalwanga,stephen.nalwanga@company.co.ug,+256752355746,1994-08-23,Male,Married,Mechanical Engineer,Engineering,manager.engineering@company.co.ug,Full-time,Active,2016-08-09,,Yes,stephen.nalwanga,Welcome2025!,Supervisor,9276116,800000,600000,350000,0,0,Equity Bank,7697686339,Central Branch,,CM854051858639,,,81923778-29,"Plot 24, Nakasero",Jinja,Kampala,Nakato Apio,+256708396991,Parent,
Stephen,,Nakandi,stephen.nakandi@company.co.ug,+256701499028,1999-04-04,Male,Divorced,Mechanical Engineer,Engineering,,Full-time,Active,2018-08-20,2019-02-16,Yes,stephen.nakandi,Welcome2025!,Employee,6821694,1200000,750000,550000,0,800000,Stanbic Bank,9875407054,Central Branch,,CM922027461005,,8693419594,70083133-35,"Plot 103, Old Kampala Road",Mbarara,Gulu,Namukwaya Tumwebaze,+256793293251,Sibling,
Esther,,Kiwanuka,esther.kiwanuka@company.co.ug,+256718927138,1994-10-14,Female,Widowed,Auditor,Finance,,Contract,Active,2024-02-09,,No,,,,8867359,0,400000,0,300000,0,Bank of Africa,2735408519,Kampala Branch,,CM715948271258,,3461097921,37070263-38,"Plot 8, Old Kampala Road",Jinja,Gulu,Francis Mukasa,+256775977576,Friend,
Francis,Mary,Asiimwe,francis.asiimwe@company.co.ug,+256711756494,1997-05-19,Male,Widowed,Business Development Manager,Sales,manager.sales@company.co.ug,Full-time,Active,2018-06-28,2018-12-25,No,,,,2736537,400000,600000,150000,200000,0,Bank of Africa,7934752650,Central Branch,,CM893495637993,,5153257575,35391122-38,"Plot 96, Entebbe Road",Mbale,Kampala,Joseph Mbabazi,+256788202526,Parent,
Lydia,Moses,Okello,lydia.okello@company.co.ug,+256777190985,1987-09-09,Female,Divorced,Business Development Manager,Sales,,Full-time,Active,2014-06-14,,Yes,lydia.okello,Welcome2025!,Employee,7177444,1200000,750000,500000,0,0,Stanbic Bank,7764432239,Central Branch,,CM868393539104,,6311565163,,"Plot 23, Bombo Road",Mbarara,Jinja,Brenda Asiimwe,+256721133647,Spouse,
Lydia,,Apio,lydia.apio@company.co.ug,+256743691597,1996-07-15,Female,Divorced,Sales Executive,Sales,,Full-time,Active,2019-04-21,,Yes,lydia.apio,Welcome2025!,Employee,8614369,1300000,0,0,200000,700000,Centenary Bank,9577542856,Kampala Branch,,CM849884958965,,1618807024,,"Plot 193, Entebbe Road",Entebbe,Jinja,Nakato Ssekitto,+256779491856,Friend,
Grace,,Kato,grace.kato@company.co.ug,+256756713178,1992-07-19,Female,Divorced,Accountant,Finance,,Full-time,Active,2018-04-10,,No,,,,2306287,0,400000,0,100000,0,Absa Bank,6147124108,Kampala Main,,CM919692331467,,6964216311,,"Plot 210, Old Kampala Road",Masaka,Gulu,Doreen Mbabazi,+256745229858,Sibling,
David,,Kiwanuka,david.kiwanuka@company.co.ug,+256769714081,1997-02-07,Male,Married,Project Manager,Management,manager.management@company.co.ug,Full-time,Active,2017-01-06,,No,,,,2613183,1700000,550000,450000,100000,0,DFCU Bank,1593082997,Kampala Branch,,CM769228972660,,3814178262,,"Plot 26, Nakasero",Kampala,Gulu,Lydia Nalwanga,+256762140993,Sibling,
Ronald,,Nakandi,ronald.nakandi@company.co.ug,+256752263299,1990-06-04,Male,Single,Accountant,Finance,,Full-time,Active,2020-12-23,,Yes,ronald.nakandi,Welcome2025!,Admin,4945997,0,0,200000,300000,0,Equity Bank,2114055397,Kampala Branch,+256753556508,CM953988852760,,9132356751,,"Plot 141, Nakasero",Mbale,Kampala,Esther Mukasa,+256750304525,Spouse,
Samuel,,Nakandi,samuel.nakandi@company.co.ug,+256706445518,1997-01-10,Male,Married,Mechanical Engineer,Engineering,manager.engineering@company.co.ug,Full-time,Active,2017-08-30,,No,,,,5847579,900000,800000,250000,0,0,Centenary Bank,3578769416,Central Branch,,CM716275092537,,3950938604,54845338-48,"Plot 5, Old Kampala Road",Jinja,Mukono,Achen Okello,+256785191377,Child,
Charles,Nantongo,Nakandi,charles.nakandi@company.co.ug,+256741552250,1979-10-27,Male,Single,Executive Director,Management,manager.management@company.co.ug,Contract,Active,2014-03-21,,No,,,,3875644,800000,300000,450000,250000,0,DFCU Bank,1689912514,Kampala Branch,,CM763924102511,,6998863618,63133708-77,"Plot 127, Bombo Road",Mbale,Wakiso,Sarah Byaruhanga,+256717370977,Parent,
James,Samuel,Mbabazi,james.mbabazi@company.co.ug,+256781567784,1976-02-15,Male,Married,Project Manager,Management,manager.management@company.co.ug,Full-time,Active,2020-08-05,,No,,,,8516011,800000,400000,350000,250000,0,Bank of Africa,4019786510,Kampala Branch,,CM749834158642,,7315973595,53779185-39,"Plot 87, Nakasero",Mbarara,Mukono,Esther Akello,+256702472308,Friend,
Stephen,,Nalwanga,stephen.nalwanga@company.co.ug,+256768567493,1990-10-02,Male,Divorced,Marketing Officer,Sales,manager.sales@company.co.ug,Full-time,Active,2020-02-20,,Yes,stephen.nalwanga,Welcome2025!,Supervisor,2976293,0,550000,500000,100000,0,Centenary Bank,3309437878,Kampala Branch,+256758747529,CM868568851965,,1586914021,40558108-37,"Plot 114, Bombo Road",Mbarara,Jinja,Peter Nabukenya,+256782056567,Parent,
Patrick,,Asiimwe,patrick.asiimwe@company.co.ug,+256785659080,1998-09-21,Male,Single,Marketing Officer,Sales,,Contract,Active,2014-10-11,,No,,,,5617537,400000,300000,0,200000,0,DFCU Bank,2360744706,Central Branch,+256751824859,CM812689415575,,1198955954,,"Plot 5, Bombo Road",Mbarara,Jinja,Simon Nabukeera,+256730635977,Sibling,
David,,Kiwanuka,david.kiwanuka@company.co.ug,+256734927207,1998-03-12,Male,Single,Project Engineer,Engineering,,Full-time,Active,2019-12-12,,Yes,david.kiwanuka,Welcome2025!,Employee,3317937,1100000,300000,0,100000,700000,Absa Bank,8914161951,Kampala Main,,CM831937619029,,4571208602,,"Plot 150, Ggaba Road",Fort Portal,Mbarara,Geoffrey Nabukeera,+256718380141,Child,
Achen,Rebecca,Kato,achen.kato@company.co.ug,+256795651090,2003-06-13,Female,Single,Auditor,Finance,,Full-time,Active,2022-09-11,,Yes,achen.kato,Welcome2025!,Admin,3897026,1200000,300000,350000,250000,0,Equity Bank,6560853923,Central Branch,,CM815222491378,,9783077237,,"Plot 45, Old Kampala Road",Masaka,Kampala,Namukwaya Nakandi,+256741621101,Parent,
Samuel,Peter,Tumwebaze,samuel.tumwebaze@company.co.ug,+256761180601,1979-11-12,Male,Widowed,Logistics Coordinator,Operations,,Full-time,Active,2023-09-23,2024-03-21,Yes,samuel.tumwebaze,Welcome2025!,Admin,9177007,600000,0,500000,150000,200000,Stanbic Bank,2047578074,Kampala Branch,,CM846291553729,,1812523981,,"Plot 91, Nakasero",Fort Portal,Kampala,Prossy Nabukeera,+256788202619,Parent,
Patrick,,Mukasa,patrick.mukasa@company.co.ug,+256720074857,1999-12-25,Male,Widowed,Department Manager,Management,,Full-time,Active,2017-07-18,2018-01-14,No,,,,4114817,1000000,0,400000,100000,500000,DFCU Bank,4668471424,Central Branch,,CM702711665325,,7954429517,91898341-30,"Plot 135, Entebbe Road",Gulu,Jinja,Simon Nakandi,+256781400668,Child,
James,Francis,Mukasa,james.mukasa@company.co.ug,+256745959964,1983-04-17,Male,Widowed,Recruitment Specialist,Human Resources,manager.humanresources@company.co.ug,Full-time,Active,2015-05-21,,Yes,james.mukasa,Welcome2025!,Admin,4664907,700000,0,550000,200000,700000,Absa Bank,3557835164,Central Branch,,CM819176487248,,,,"Plot 9, Old Kampala Road",Gulu,Mbarara,Ronald Akello,+256791304151,Parent,
Moses,Lydia,Akello,moses.akello@company.co.ug,+256792953992,2003-08-06,Male,Married,Auditor,Finance,manager.finance@company.co.ug,Full-time,Active,2020-01-23,2020-07-21,Yes,moses.akello,Welcome2025!,Admin,7072149,0,0,250000,0,200000,Bank of Africa,3319404642,Central Branch,,CM882748515007,,8296356057,97391892-43,"Plot 85, Old Kampala Road",Masaka,Mbarara,Doreen Kato,+256732271415,Spouse,
James,,Ssekitto,james.ssekitto@company.co.ug,+256725119893,1992-01-09,Male,Divorced,Executive Director,Management,,Full-time,Active,2024-02-11,,No,,,,2624306,300000,750000,0,0,0,Stanbic Bank,4427123621,Kampala Branch,,CM761954565137,,,89138188-93,"Plot 205, Nakasero",Entebbe,Jinja,Moses Byaruhanga,+256726180649,Sibling,
